Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,...68
J,"Korner, A; Strack, F",NA,NA,NA,"Koerner, Anita; Strack, Fritz",NA,NA,Conditions for the clean slate effect after success or failure,JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,English,Article,NA,NA,NA,NA,NA,Clean-slate effect; embodied cognition; embodied cleansing; embodiment; performance feedback,THREATENED MORALITY; SIGNATURE SIZE; DIRTY HANDS; SELF-ESTEEM; EMBODIMENT; JUDGMENTS; WEIGHT; INFORMATION; IMPACT; SINS,"The act of physically cleaning one's hands may reduce the impact of past experiences, termed clean-slate effect. Cleaning was found to affect negative, neutral, and mildly positive states. We extend this influence to success, a self-serving state. We manipulated success vs. failure and measured changes in optimism (Experiment 1) or self-esteem (Experiment 2). Moreover, we examined boundary conditions for the clean-slate effect. Experiment 1 indicates that the influence of performance on optimism diminishes if participants knew (compared to did not know) they were cleaning their hands. Experiment 2 indicates that the influence of performance on self-esteem diminishes if participants cleaned themselves (compared to an object). These results suggest that the clean-slate effect requires both awareness and self-reference of the cleaning act. Thus, the clean-slate effect seems to depend on both conscious inferences and automatic processes. A meta-analysis across the experiments confirms a moderate-sized clean-slate effect.","[Koerner, Anita; Strack, Fritz] Univ Wurzburg, Wurzburg, Germany","Korner, A (corresponding author), Univ Wurzburg, Dept Psychol, Rontgenring 10, D-97070 Wurzburg, Germany.",anita.koerner@uni-wuerzburg.de,NA,"Korner, Anita/0000-0003-3761-2118",NA,NA,NA,61,0,0,1,2,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0022-4545,1940-1183,NA,J SOC PSYCHOL,J. Soc. Psychol.,JAN 2,2019,159,1,NA,NA,NA,NA,92,105,NA,10.1080/00224545.2018.1454881,NA,NA,14,"Psychology, Social",Psychology,HG7UE,WOS:000455200000008,29558257,NA,NA,NA,2021-02-02,NA
J,"Strack, F; Stroebe, W",NA,NA,NA,"Strack, Fritz; Stroebe, Wolfgang",NA,NA,What have we learned? What can we learn?,BEHAVIORAL AND BRAIN SCIENCES,NA,NA,English,Editorial Material,NA,NA,NA,NA,NA,NA,NA,"We advocate that replications should be an integral part of the scientific discourse and provide insights about the conditions under which an effect occurs. By themselves, mere nonreplications are not informative about the truth of an effect. As a consequence, the mechanistic continuation of multilab replications should be replaced by diagnostic studies providing insights about the underlying causes and mechanisms.","[Strack, Fritz] Univ Wurzburg, Dept Psychol, D-97070 Wurzburg, Germany; [Stroebe, Wolfgang] Univ Groningen, Dept Social Psychol, NL-9712 TS Groningen, Netherlands","Strack, F (corresponding author), Univ Wurzburg, Dept Psychol, D-97070 Wurzburg, Germany.",fritz_strack@yahoo.de; wolfgang.stroebe@rug.nl,NA,NA,NA,NA,NA,0,0,0,0,0,CAMBRIDGE UNIV PRESS,NEW YORK,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",0140-525X,1469-1825,NA,BEHAV BRAIN SCI,Behav. Brain Sci.,NA,2018,41,NA,NA,NA,NA,NA,NA,NA,e151,10.1017/S0140525X18000870,NA,NA,2,"Psychology, Biological; Behavioral Sciences; Neurosciences",Psychology; Behavioral Sciences; Neurosciences & Neurology,HL5SP,WOS:000458790700066,31064559,NA,NA,NA,2021-02-02,NA
J,"Zurn, M; Strack, F",NA,NA,NA,"Zuern, Michael; Strack, Fritz",NA,NA,When More Is Better - Consumption Priming Decreases Responders' Rejections in the Ultimatum Game,FRONTIERS IN PSYCHOLOGY,NA,NA,English,Article,NA,NA,NA,NA,NA,Ultimatum Game; comparison; consumption priming; evaluation; cognitive processes,FAIRNESS; INFORMATION; PERSPECTIVE; RECIPROCITY; CHOICES; TRUST; TIMES; SLOW,"During the past decades, economic theories of rational choice have been exposed to outcomes that were severe challenges to their claim of universal validity. For example, traditional theories cannot account for refusals to cooperate if cooperation would result in higher payoffs. A prominent illustration are responders' rejections of positive but unequal payoffs in the Ultimatum Game. To accommodate this anomaly in a rational framework one needs to assume both a preference for higher payoffs and a preference for equal payoffs. The current set of studies shows that the relative weight of these preference components depends on external conditions and that consumption priming may decrease responders' rejections of unequal payoffs. Specifically, we demonstrate that increasing the accessibility of consumption-related information accentuates the preference for higher payoffs. Furthermore, consumption priming increased responders' reaction times for unequal payoffs which suggests an increased conflict between both preference components. While these results may also be integrated into existing social preference models, we try to identify some basic psychological processes underlying economic decision making. Going beyond the Ultimatum Game, we propose that a distinction between comparative and deductive evaluations may provide a more general framework to account for various anomalies in behavioral economics.","[Zuern, Michael] Univ Cologne, Dept Psychol Social & Econ Cognit 2, Cologne, Germany; [Strack, Fritz] Univ Wurzburg, Dept Psychol, Wurzburg, Germany","Zurn, M (corresponding author), Univ Cologne, Dept Psychol Social & Econ Cognit 2, Cologne, Germany.",michael.zuern@uni-koeln.de,NA,NA,NA,NA,NA,48,0,0,1,5,FRONTIERS MEDIA SA,LAUSANNE,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",1664-1078,NA,NA,FRONT PSYCHOL,Front. Psychol.,DEC 20,2017,8,NA,NA,NA,NA,NA,NA,NA,2226,10.3389/fpsyg.2017.02226,NA,NA,9,"Psychology, Multidisciplinary",Psychology,FQ4QY,WOS:000418343800001,29326637,"DOAJ Gold, Green Published",NA,NA,2021-02-02,NA
J,"Schubert, L; Korner, A; Lindau, B; Strack, F; Topolinski, S",NA,NA,NA,"Schubert, Lisa; Koerner, Anita; Lindau, Berit; Strack, Fritz; Topolinski, Sascha",NA,NA,"Open-Minded Midwifes, Literate Butchers, and Greedy Hooligans - The Independent Contributions of Stereotype Valence and Consistency on Evaluative Judgments",FRONTIERS IN PSYCHOLOGY,NA,NA,English,Article,NA,NA,NA,NA,NA,attitudes; stereotype disconfirmation; fluency; consistency; affect,IMPRESSION-FORMATION; PERSON PERCEPTION; INFORMATION; COHERENCE; MEMORY; DISCONFIRMATION; INTUITION; PREJUDICE; IMPACT; MODEL,"Do people evaluate an open-minded midwife less positively than a caring midwife? Both open-minded and caring are generally seen as positive attributes. However, consistency varies-the attribute caring is consistent with the midwife stereotype while open-minded is not. In general, both stimulus valence and consistency can influence evaluations. Six experiments investigated the respective influence of valence and consistency on evaluative judgments in the domain of stereotyping. In an impression formation paradigm, valence and consistency of stereotypic information about target persons were manipulated orthogonally and spontaneous evaluations of these target persons were measured. Valence reliably influenced evaluations. However, for strongly valenced stereotypes, no effect of consistency was observed. Parameters possibly preventing the occurrence of consistency effects were ruled out, specifically, valence of inconsistent attributes, processing priority of category information, and impression formation instructions. However, consistency had subtle effects on evaluative judgments if the information about a target person was not strongly valenced and experimental conditions were optimal. Concluding, in principle, both stereotype valence and consistency can play a role in evaluative judgments of stereotypic target persons. However, the more subtle influence of consistency does not seem to substantially influence evaluations of stereotyped target persons. Implications for fluency research and stereotype disconfirmation are discussed.","[Schubert, Lisa; Koerner, Anita; Strack, Fritz] Univ Wurzburg, Inst Psychol, Wurzburg, Germany; [Lindau, Berit; Topolinski, Sascha] Univ Cologne, Social Cognit Ctr Cologne, Cologne, Germany","Schubert, L (corresponding author), Univ Wurzburg, Inst Psychol, Wurzburg, Germany.",lisa.schubert@uni-wuerzburg.de,NA,"Schubert, Lisa/0000-0001-9735-8786; Korner, Anita/0000-0003-3761-2118",Deutsche Forschungsgemeinschaft (DFG)German Research Foundation (DFG) [Str 264/25-1]; German Federal State Government of North-Rhine Westphalia (Nachwuchsforschun gsgruppe) [NRW 005-1503-0007],This research was funded by the Deutsche Forschungsgemeinschaft (DFG) (Str 264/25-1) and by German Federal State Government of North-Rhine Westphalia (Nachwuchsforschun gsgruppe. NRW 005-1503-0007; 2015-2021).,NA,82,1,1,0,3,FRONTIERS MEDIA SA,LAUSANNE,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",1664-1078,NA,NA,FRONT PSYCHOL,Front. Psychol.,OCT 9,2017,8,NA,NA,NA,NA,NA,NA,NA,1723,10.3389/fpsyg.2017.01723,NA,NA,15,"Psychology, Multidisciplinary",Psychology,FJ2UC,WOS:000412584200001,29062289,"DOAJ Gold, Green Published",NA,NA,2021-02-02,NA
J,"Strack, F",NA,NA,NA,"Strack, Fritz",NA,NA,From Data to Truth in Psychological Science. A Personal Perspective,FRONTIERS IN PSYCHOLOGY,NA,NA,English,Editorial Material,NA,NA,NA,NA,NA,replication; social psychology; methodology; critical discourse; theory testing,REGISTERED REPLICATION REPORT; FACIAL FEEDBACK; ACCESSIBILITY; EMOTION,NA,"[Strack, Fritz] Univ Wurzburg, Dept Psychol, Wurzburg, Germany","Strack, F (corresponding author), Univ Wurzburg, Dept Psychol, Wurzburg, Germany.",strack@psychologie.uni-wuerzburg.de,NA,NA,NA,NA,NA,17,13,13,0,9,FRONTIERS MEDIA SA,LAUSANNE,"PO BOX 110, EPFL INNOVATION PARK, BUILDING I, LAUSANNE, 1015, SWITZERLAND",1664-1078,NA,NA,FRONT PSYCHOL,Front. Psychol.,MAY 16,2017,8,NA,NA,NA,NA,NA,NA,NA,702,10.3389/fpsyg.2017.00702,NA,NA,3,"Psychology, Multidisciplinary",Psychology,EU9KE,WOS:000401357900001,28559859,"DOAJ Gold, Green Published",NA,NA,2021-02-02,NA
J,"Strack, F; Bahnik, S; Mussweiler, T",NA,NA,NA,"Strack, Fritz; Bahnik, Stepan; Mussweiler, Thomas",NA,NA,Anchoring: accessibility as a cause of judgmental assimilation,CURRENT OPINION IN PSYCHOLOGY,NA,NA,English,Article,NA,NA,NA,NA,NA,NA,SELECTIVE ACCESSIBILITY; APPLICABILITY; CONSEQUENCES; UNCERTAINTY; INFORMATION; KNOWLEDGE; SEMANTICS; CATEGORY; TASKS; MODEL,"Anchoring denotes assimilation of judgment toward a previously considered value - an anchor. The selective accessibility model argues that anchoring is a result of selective accessibility of information compatible with an anchor. The present review shows the similarities between anchoring and knowledge accessibility effects. Both effects depend on the applicability of the accessible information, which is also used similarly. Furthermore, both knowledge accessibility and anchoring influence the time needed for the judgment and both display temporal robustness. Finally, we offer recent evidence for the selective accessibility model and demonstrate how the model can be applied to reducing the anchoring effect.","[Strack, Fritz; Bahnik, Stepan] Univ Wurzburg, Dept Psychol, Rontgenring 10, D-97070 Wurzburg, Germany; [Mussweiler, Thomas] Univ Cologne, Social Cognit Ctr Cologne, Richard Strauss Str 2, D-50931 Cologne, Germany","Strack, F (corresponding author), Univ Wurzburg, Dept Psychol, Rontgenring 10, D-97070 Wurzburg, Germany.",strack@psychologie.uni-wuerzburg.de,NA,"Bahnik, Stepan/0000-0002-0579-6808",Deutsche Forschungsgemeinschaft (DFG-RTG) [1253/2],The work of Stepan Bahnik was supported by Deutsche Forschungsgemeinschaft (DFG-RTG 1253/2).,NA,32,9,9,1,21,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",2352-250X,NA,NA,CURR OPIN PSYCHOL,Curr. Opin. Psychol.,DEC,2016,12,NA,NA,NA,NA,NA,67,70,NA,10.1016/j.copsyc.2016.06.005,NA,NA,4,"Psychology, Multidisciplinary",Psychology,EG3AM,WOS:000390915800015,NA,NA,NA,NA,2021-02-02,NA
J,"Strack, F; Schwarz, N",NA,NA,NA,"Strack, Fritz; Schwarz, Norbert",NA,NA,Editorial overview: Social priming: Information accessibility and its consequences,CURRENT OPINION IN PSYCHOLOGY,NA,NA,English,Editorial Material,NA,NA,NA,NA,NA,NA,CATEGORY ACCESSIBILITY; RETRIEVAL; ASSIMILATION; AWARENESS; CONTRAST; MEMORY,NA,"[Strack, Fritz] Univ Wurzburg, LS Psychol 2, Roentgenring 10, D-97070 Wurzburg, Germany; [Schwarz, Norbert] Univ Southern Calif, Dept Psychol, Los Angeles, CA 90089 USA","Strack, F (corresponding author), Univ Wurzburg, LS Psychol 2, Roentgenring 10, D-97070 Wurzburg, Germany.",strack@psychologie.uni-wuerzburg.de; norbert.schwarz@usc.edu,"Schwarz, Norbert/B-3591-2008","Schwarz, Norbert/0000-0002-8868-7067",NA,NA,NA,41,4,4,0,14,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",2352-250X,NA,NA,CURR OPIN PSYCHOL,Curr. Opin. Psychol.,DEC,2016,12,NA,NA,NA,NA,NA,IV,VII,NA,10.1016/j.copsyc.2016.11.001,NA,NA,4,"Psychology, Multidisciplinary",Psychology,EG3AM,WOS:000390915800001,NA,NA,NA,NA,2021-02-02,NA
J,"Schwarz, N; Strack, F",NA,NA,NA,"Schwarz, Norbert; Strack, Fritz",NA,NA,Beyond 'what' comes to mind: experiential and conversational determinants of information use,CURRENT OPINION IN PSYCHOLOGY,NA,NA,English,Article,NA,NA,NA,NA,NA,NA,ACCESSIBILITY EXPERIENCES; FOCUSING ILLUSION; RETRIEVAL; EASE; JUDGMENTS; ASSIMILATION; CONTRAST; CONTEXT; CONSCIOUSNESS; FACILITATION,"The accessibility of potentially relevant information is insufficient to predict its impact on judgment and behavior. Memory based judgments are consistent with the implications of what comes to mind when it does so easily, but not otherwise. The relative reliance on accessible content and subjective accessibility experiences varies with motivation and task. Norms of cooperative communication further moderate information use by encouraging the provision of new information and discouraging the provision of redundant information. These context sensitive intra-personal and interpersonal processes moderate the impact of accessible information in ways that cannot be derived from semantic accessibility models.","[Schwarz, Norbert] Univ Southern Calif, Dept Psychol, 3620 S McClintock Ave, Los Angeles, CA 90089 USA; [Strack, Fritz] Univ Wurzburg, Lehrstuhl Psychol 2, Rontgenring 10, D-97070 Wurzburg, Germany","Schwarz, N (corresponding author), Univ Southern Calif, Dept Psychol, 3620 S McClintock Ave, Los Angeles, CA 90089 USA.; Strack, F (corresponding author), Univ Wurzburg, Lehrstuhl Psychol 2, Rontgenring 10, D-97070 Wurzburg, Germany.",Norbert.Schwarz@usc.edu; Fritz_Strack@yahoo.de,"Schwarz, Norbert/B-3591-2008","Schwarz, Norbert/0000-0002-8868-7067",NA,NA,NA,60,5,5,0,4,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",2352-250X,NA,NA,CURR OPIN PSYCHOL,Curr. Opin. Psychol.,DEC,2016,12,NA,NA,NA,NA,NA,89,93,NA,10.1016/j.copsyc.2016.09.008,NA,NA,5,"Psychology, Multidisciplinary",Psychology,EG3AM,WOS:000390915800020,NA,NA,NA,NA,2021-02-02,NA
J,"Strack, F",NA,NA,NA,"Strack, Fritz",NA,NA,Reflection on the Smiling Registered Replication Report,PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,NA,NA,English,Editorial Material,NA,NA,NA,NA,NA,NA,NA,NA,"[Strack, Fritz] Univ Wurzburg, Wurzburg, Germany","Strack, F (corresponding author), Univ Wurzburg, Psychol II, Rontgenring 10, D-97070 Wurzburg, Germany.",strack@psychologie.uni-wuerzburg.de,NA,NA,NA,NA,NA,2,23,23,1,23,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",1745-6916,1745-6924,NA,PERSPECT PSYCHOL SCI,Perspect. Psychol. Sci.,NOV,2016,11,6,NA,NA,NA,NA,929,930,NA,10.1177/1745691616674460,NA,NA,2,"Psychology, Multidisciplinary",Psychology,EE6LC,WOS:000389721300015,27784750,NA,NA,NA,2021-02-02,NA
J,"Strack, F; Pauli, P; Weyers, P",NA,NA,NA,"Strack, Fritz; Pauli, Paul; Weyers, Peter",NA,NA,Editorial: Emotion and Behavior,FRONTIERS IN PSYCHOLOGY,NA,NA,English,Editorial Material,NA,NA,NA,NA,NA,emotions; behavior; approach; avoidance; impulsive behavior,NA,NA,"[Strack, Fritz; Pauli, Paul; Weyers, Peter] Univ Wurzburg, Dept Psychol, D-97070 Wurzburg, Germany","Strack, F; Pauli, P (corresponding author), Univ Wurzburg, Dept Psychol, D-97070 Wurzburg, Germany.",strack@psychologie.uni-wuerzburg.de; pauli@psychologie.uni-wuerzburg.de,NA,"Pauli, Paul/0000-0003-0692-6720",DFGGerman Research Foundation (DFG) [FOR-605],Funded by DFG FOR-605.,NA,2,1,1,0,3,FRONTIERS MEDIA SA,LAUSANNE,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",1664-1078,NA,NA,FRONT PSYCHOL,Front. Psychol.,MAR 7,2016,7,NA,NA,NA,NA,NA,NA,NA,313,10.3389/fpsyg.2016.00313,NA,NA,2,"Psychology, Multidisciplinary",Psychology,DF5MR,WOS:000371396600001,27014128,"DOAJ Gold, Green Published",NA,NA,2021-02-02,NA
