uniqueID,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
1,J,"Chan, EY",,,,"Chan, Eugene Y.",,,The politics of intent: Political ideology influences organ donation intentions,PERSONALITY AND INDIVIDUAL DIFFERENCES,,,English,Article,,,,,,Political ideology; Organ donation intentions; Bodily integrity; Disgust; Tempting fate,TABOO TRADE-OFFS; INDIVIDUAL-DIFFERENCES; SOCIAL CONSERVATISM; REASONED ACTION; PERSONALITY; DONOR; ATTITUDES; WILLINGNESS; LIBERALS; DECISION,"The low supply of organs is a global concern. It is crucial to recognize the barriers, whether cognitive or emotional, that influence individuals' willingness to sign up onto organ donation registries. In the current investigation, we hypothesize that a politically-conservative ideology reduces peoples organ donation intentions. This is likely since individuals with a conservative ideology care more about the integrity of the human body, are more disgusted by the very act of organ donations, and believe that signing onto such registries would be tempting fate. We test and confirm this possibility in a study with 148 Australians. The findings indicate that political ideology can be a predictor of individuals' likelihood of becoming organ donors.","[Chan, Eugene Y.] Monash Univ, Monash Business Sch, 26 Sir John Monash Dr, Caulfield, Vic 3145, Australia","Chan, EY (reprint author), Monash Univ, Monash Business Sch, 26 Sir John Monash Dr, Caulfield, Vic 3145, Australia.",Eugene.Chan@monash.edu,,,,,,42,0,0,0,0,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0191-8869,,,PERS INDIV DIFFER,Pers. Individ. Differ.,1-May,2019,142,,,,,,255,259,,10.1016/j.paid.2018.12.022,,,,5,"Psychology, Social",Psychology,HR4OH,WOS:000463125300038,,,,,4/26/19
2,J,"Chan, EY",,,,"Chan, Eugene Y.",,,"Exposure to national flags reduces tax evasion: Evidence from the United States, Australia, and Britain",EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,,,English,Article,,,,,,tax evasion; national flags; flag primes; national identity; inclusive identification; self-interest,AMERICAN FLAG; SOCIAL IDENTITY; SELF-REPORTS; PATRIOTISM; ECONOMICS; PEOPLE; PUNISHMENT; KNOWLEDGE; SACRIFICE; DECISION,"There have been numerous theories from numerous academic fields explaining why individuals engage in tax evasion. Drawing broadly on Social Identity Theory, we predict that exposure to one's national flag can reduce tax evasion by making salient one's national identity, motivating one to sacrifice one's self-interests for one's country-which would presumably include paying one's fair share of taxes. In three experiments, we found that exposure to American, Australian, and British flags reduced Americans', Australians', and Britons' tax evasion in financially incentivized tasks (Experiments 1, 3) and increased tax-paying attitudes (Experiment 2). The effects arose because flag primes made salient participants' national identities that then motivated them to help their country. We ruled out social norms and trust in authorities as alternative explanations. As such, flag primes might reduce tax evasion and in doing so improve the economic and societal welfare of a country.","[Chan, Eugene Y.] Monash Univ, Monash Business Sch, 26 Sir John Monash Dr, Caulfield, Vic 3145, Australia","Chan, EY (reprint author), Monash Univ, Monash Business Sch, 26 Sir John Monash Dr, Caulfield, Vic 3145, Australia.",Eugene.Chan@monash.edu,"Chan, Eugene/D-9088-2014","Chan, Eugene/0000-0002-6847-6545",,,,92,0,0,2,2,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0046-2772,1099-0992,,EUR J SOC PSYCHOL,Eur. J. Soc. Psychol.,MAR,2019,49,2,,,,,300,312,,10.1002/ejsp.2388,,,,13,"Psychology, Social",Psychology,HM7DC,WOS:000459636500006,,,,,4/26/19
3,J,"Kardos, P; Unoka, Z; Pleh, C; Soltesz, P",,,,"Kardos, Peter; Unoka, Zsolt; Pleh, Csaba; Soltesz, Peter",,,Your mobile phone indeed means your social network: Priming mobile phone activates relationship related concepts,COMPUTERS IN HUMAN BEHAVIOR,,,English,Article,,,,,,Mobile phone; Social network; Social relationship; Priming; Belonging,COMMUNICATION; BEHAVIOR; NEED; CONNECTEDNESS; ACCESSIBILITY; INFORMATION; CONSTRUCT; EXPOSURE; BELONG; MEMORY,"Mobile phones have become an integral part of life, drawing researchers' attention to their behavioral consequences. Yet, we know little about the psychological associations of mobile phones. It has been proposed that due to their role in maintaining social relationships, the mobile phone, as an object, has become the representation of a person's social network. This paper empirically investigates this idea. A sample of 154 university students participated in an experiment that tested the cognitive consequences of activating the concept of a mobile phone. We primed the concept of a mobile phone and measured the accessibility of thoughts related to social relationships with a word fragment completion task. People reminded of their mobile phones (vs. neutral personal objects) found significantly more words related to social networks, demonstrating the association between social relationships and the idea of mobile phones. Additionally, priming people with their mobile phones was associated with lower need to belong.","[Kardos, Peter] Bloomfield Coll, Bloomfield, NJ 07003 USA; [Unoka, Zsolt] Semmelweis Univ, Budapest, Hungary; [Pleh, Csaba] Cent European Univ, Budapest, Hungary; [Soltesz, Peter] Pazmany Peter Catholic Univ, Budapest, Hungary","Kardos, P (reprint author), Bloomfield Coll, Div Social & Behav Sci, 59 Fremont St, Bloomfield, NJ 07003 USA.",peter_kardos@bloomfield.edu,,, [TAMOP-4.2.2.C-11/1/KONV-2012-0008],This research was supported by TAMOP-4.2.2.C-11/1/KONV-2012-0008.,,55,1,1,18,24,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0747-5632,1873-7692,,COMPUT HUM BEHAV,Comput. Hum. Behav.,NOV,2018,88,,,,,,84,88,,10.1016/j.chb.2018.06.027,,,,5,"Psychology, Multidisciplinary; Psychology, Experimental",Psychology,GS4ZC,WOS:000443665400010,,,,,4/26/19
4,J,"Cheng, YT; Li, JCH; Liu, XY",,,,"Cheng, Yongtian; Li, Johnson Ching-Hong; Liu, Xiyao",,,Limited Usefulness of Capture Procedure and Capture Percentage for Evaluating Reproducibility in Psychological Science,FRONTIERS IN PSYCHOLOGY,,,English,Article,,,,,,reproducibility; effect sizes; capture percentage; capture procedure; simulation,EFFECT SIZE; CONFIDENCE-INTERVALS; REPLICATION; EXPOSURE; ERROR,"In psychological science, there is an increasing concern regarding the reproducibility of scientific findings. For instance, Replication Project: Psychology (Open Science Collaboration, 2015) found that the proportion of successful replication in psychology was 41%. This proportion was calculated based on Cumming and Maillardet (2006) widely employed capture procedure (CPro) and capture percentage (CPer). Despite the popularity of CPro and CPer, we believe that using them may lead to an incorrect conclusion of (a) successful replication when the population effect sizes in the original and replicated studies are different; and (b) unsuccessful replication when the population effect sizes in the original and replicated studies are identical but their sample sizes are different. Our simulation results show that the performances of CPro and CPer become biased, such that researchers can easily make a wrong conclusion of successful/unsuccessful replication. Implications of these findings are considered in the conclusion.","[Cheng, Yongtian; Li, Johnson Ching-Hong] Univ Manitoba, Dept Psychol, Winnipeg, MB, Canada; [Liu, Xiyao] Univ Oregon, Dept Psychol, Eugene, OR 97403 USA","Li, JCH (reprint author), Univ Manitoba, Dept Psychol, Winnipeg, MB, Canada.",Johnson.Li@umanitoba.ca,,,,,,27,0,0,3,6,FRONTIERS MEDIA SA,LAUSANNE,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",1664-1078,,,FRONT PSYCHOL,Front. Psychol.,11-Sep,2018,9,,,,,,,,1657,10.3389/fpsyg.2018.01657,,,,9,"Psychology, Multidisciplinary",Psychology,GT2TL,WOS:000444352400001,30254594,DOAJ Gold,,,4/26/19
5,J,"DeJesus, JM; Hwang, HG; Dautel, JB; Kinzler, KD",,,,"DeJesus, Jasmine M.; Hwang, Hyesung G.; Dautel, Jocelyn B.; Kinzler, Katherine D.",,,"American=English Speaker Before ""American=White"": The Development of Children's Reasoning About Nationality",CHILD DEVELOPMENT,,,English,Article,,,,,,,SOCIAL CATEGORIES; BILINGUAL INFANTS; IDENTITY; ACCENT; RACE; ATTITUDES; WHITE; BIAS; COMMUNICATION; STEREOTYPES,"Adults implicitly judge people from certain social backgrounds as more American than others. This study tests the development of children's reasoning about nationality and social categories. Children across cultures (White and Korean American children in the United States, Korean children in South Korea) judged the nationality of individuals varying in race and language. Across cultures, 5- to 6-year-old children (N=100) categorized English speakers as American and Korean speakers as Korean regardless of race, suggesting that young children prioritize language over race when thinking about nationality. Nine- and 10-year-olds (N=181) attended to language and race and their nationality judgments varied across cultures. These results suggest that associations between nationality and social category membership emerge early in life and are shaped by cultural context.","[DeJesus, Jasmine M.] Univ Michigan, Ann Arbor, MI 48109 USA; [Hwang, Hyesung G.] Washington Univ, St Louis, MO USA; [Dautel, Jocelyn B.] Queens Univ Belfast, Belfast, Antrim, North Ireland; [Kinzler, Katherine D.] Cornell Univ, Ithaca, NY 14853 USA","DeJesus, JM (reprint author), Univ Michigan, Ctr Human Growth & Development, 300 N Ingalls St, Ann Arbor, MI 48109 USA.",dejesus@umich.edu,,,NICHD [R01 HD070890]; NSF Graduate Research Fellowship [DGE-1144082]; Earl Franklin Research Fellowship,"This research was supported in part by NICHD Grant R01 HD070890 to Katherine D. Kinzler, an NSF Graduate Research Fellowship DGE-1144082 to Jasmine M. DeJesus, and the Earl Franklin Research Fellowship to Hyesung G. Hwang. We thank Clare Park and Emily Gerdin for assistance in data collection and the University of Chicago Department of Statistics Consulting Program for statistical advice. We also thank the members of the Development of Social Cognition Lab and four anonymous reviewers for helpful comments on a previous version of this article.",,71,4,4,3,3,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0009-3920,1467-8624,,CHILD DEV,Child Dev.,SEP-OCT,2018,89,5,,,,,1752,1767,,10.1111/cdev.12845,,,,16,"Psychology, Educational; Psychology, Developmental",Psychology,GS8CW,WOS:000443935700023,28542847,"Bronze, Green Published",,,4/26/19
6,J,"Chopik, WJ; Bremner, RH; Defever, AM; Keller, VN",,,,"Chopik, William J.; Bremner, Ryan H.; Defever, Andrew M.; Keller, Victor N.",,,How (and Whether) to Teach Undergraduates About the Replication Crisis in Psychological Science,TEACHING OF PSYCHOLOGY,,,English,Article,,,,,,replication; undergraduate pedagogy; open-source materials; best practices; questionable research practices,EXPERIENCING PHYSICAL WARMTH; REPLICABILITY,"Over the past 10 years, crises surrounding replication, fraud, and best practices in research methods have dominated discussions in the field of psychology. However, no research exists examining how to communicate these issues to undergraduates and what effect this has on their attitudes toward the field. We developed and validated a 1-hr lecture communicating issues surrounding the replication crisis and current recommendations to increase reproducibility. Pre- and post-lecture surveys suggest that the lecture serves as an excellent pedagogical tool. Following the lecture, students trusted psychological studies slightly less but saw greater similarities between psychology and natural science fields. We discuss challenges for instructors taking the initiative to communicate these issues to undergraduates in an evenhanded way.","[Chopik, William J.; Defever, Andrew M.; Keller, Victor N.] Michigan State Univ, Dept Psychol, 316 Phys Rd, E Lansing, MI 48824 USA; [Bremner, Ryan H.] Univ St Thomas, Dept Psychol, St Paul, MN USA","Chopik, WJ (reprint author), Michigan State Univ, Dept Psychol, 316 Phys Rd, E Lansing, MI 48824 USA.",chopikwi@msu.edu,,,,,,29,1,1,5,11,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",0098-6283,1532-8023,,TEACH PSYCHOL,Teach. Psychol.,APR,2018,45,2,,,,,158,163,,10.1177/0098628318762900,,,,6,"Education & Educational Research; Psychology, Multidisciplinary",Education & Educational Research; Psychology,GC7CN,WOS:000429950000007,,,,,4/26/19
7,B,"Pedrini, PP","Pedrini, PP",,,"Pedrini, Pier Paolo","Pedrini, PP",,Unity is strength,"PROPAGANDA, PERSUASION AND THE GREAT WAR: HEREDITY IN THE MODERN SALE OF PRODUCTS AND POLITICAL IDEAS",Routledge Studies in Modern European History,,English,Article; Book Chapter,,,,,,,,,"[Pedrini, Pier Paolo] Univ Italian Switzerland, Inst Continuing Educ, Psychol Commun, Tech Persuas Masters Program Publ Management & Po, Lugano, Switzerland; [Pedrini, Pier Paolo] Univ Quebec Outaouais, Ecole Natl Adm Publ, Gatineau, PQ, Canada","Pedrini, PP (reprint author), Univ Italian Switzerland, Inst Continuing Educ, Psychol Commun, Tech Persuas Masters Program Publ Management & Po, Lugano, Switzerland.; Pedrini, PP (reprint author), Univ Quebec Outaouais, Ecole Natl Adm Publ, Gatineau, PQ, Canada.",,,,,,,19,0,0,0,0,ROUTLEDGE,ABINGDON,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",,,978-1-315-23181-5; 978-1-138-29391-5,ROUTL STUD MOD EUR H,,,2018,,,,,,,67,82,,,,,,16,Communication; History,Communication; History,BM0NY,WOS:000458911500010,,,,,4/26/19
8,J,"Chan, EY",,,,"Chan, Eugene Y.",,,Exposure to the American flag polarizes democratic-republican ideologies,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,,,English,Article,,,,,,American flag; national identity; political ideology; priming cue,ACTIVE-SELF ACCOUNT; STEREOTYPE ACTIVATION; NATIONAL IDENTITY; US FLAG; BEHAVIOR; PATRIOTISM; BRITAIN; PRIDE,"Some prior research has suggested that exposure to the American flag tilts Americans towards Republicanism, while others have proffered that it brings outs a common together' perspective instead. We explore a third possibility - that it may actually polarize Americans' political ideology. It is generally accepted that exposure to an environmental cue can shift attitudes and behaviours, at least partly or temporarily, in a manner that is consistent with that cue. Yet, the same cue can mean different things to different people. In the same vein, given how national identity and political ideology are intertwined in the United States, we hypothesize that the American flag should heighten different political beliefs depending on individuals' political ideology. To Democrats, being American is to support Democratic values, but to Republicans, being American is to support Republican values. The American flag thus should heighten Democrats of their Democratic identity, and it should heighten Republicans of their Republican one. The results of an experiment with 752 American respondents who were representative of the US population supported this polarizing effect of the American flag. The theoretical and policy implications of the findings are offered.","[Chan, Eugene Y.] Monash Univ, Monash Business Sch, 26 Sir John Monash Dr, Caulfield, Vic 3145, Australia","Chan, EY (reprint author), Monash Univ, Monash Business Sch, 26 Sir John Monash Dr, Caulfield, Vic 3145, Australia.",Eugene.Chan@monash.edu,"Chan, Eugene/D-9088-2014","Chan, Eugene/0000-0002-6847-6545",,,,36,1,1,4,11,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0144-6665,2044-8309,,BRIT J SOC PSYCHOL,Br. J. Soc. Psychol.,DEC,2017,56,4,,,,,809,818,,10.1111/bjso.12197,,,,10,"Psychology, Social",Psychology,FO4UH,WOS:000416841700011,28419478,,,,4/26/19
9,J,"Gueguen, N; Martin, A; Stefan, J",,,,"Gueguen, Nicolas; Martin, Angelique; Stefan, Jordy",,,Holding your flag: The effects of exposure to a regional symbol on people's behavior,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,,,English,Article,,,,,,flag; helping; in-group relationships,INTERGROUP RELATIONS; IDENTITY SALIENCE; HUMANITARIAN AID; AMERICAN FLAG; PATRIOTISM; ORIGIN; NATIONALISM; PERCEPTIONS; AGGRESSION; DONATIONS,"Research has shown that exposure to the national flag alters people's behavior and political and intergroup judgments. In several field studies conducted in an area of France with a strong regional identity, we examined the effect of the presence of the regional flag versus the national flag versus no flag on behaviors. Various situations (e.g., money solicitation, implicit helping behavior, food tasting) were tested in Brittany, on the French west Atlantic coast. Car drivers, passersby in the street, and patrons in bakeries were exposed to no flag versus the French flag versus the Brittany flag held by requesters or presented on a product or on a car. Findings showed that the regional flag increased helping behavior dramatically. Other studies also revealed that the presence of the Brittany flag reduced aggressiveness and influenced preference for food products. The power of a flag as a symbol that could increase in-group membership is discussed.","[Gueguen, Nicolas; Martin, Angelique; Stefan, Jordy] Univ Bretagne Sud, LSHS, 4 Rue Jean Zay, Lorient, France","Gueguen, N (reprint author), Univ Bretagne Sud, LSHS, 4 Rue Jean Zay, Lorient, France.",nicolas.gueguen@univ-ubs.fr,,,,,,35,1,1,3,6,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0046-2772,1099-0992,,EUR J SOC PSYCHOL,Eur. J. Soc. Psychol.,AUG,2017,47,5,,,,,539,552,,10.1002/ejsp.2239,,,,14,"Psychology, Social",Psychology,FF8CC,WOS:000409241700002,,,,,4/26/19
10,J,"Shanks, DR",,,,"Shanks, David R.",,,"Misunderstanding the Behavior Priming Controversy: Comment on Payne, Brown-Iannuzzi, and Loersch (2016)",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,English,Editorial Material,,,,,,automaticity; priming; process dissociation procedure; replication; unconscious,PROCESS-DISSOCIATION; DISCRIMINATION; REPLICATION; RESPONSES; PURSUIT; MEMORY,"There has been considerable controversy around the limits and reproducibility of so-called ""behavior"" priming effects. Payne, Brown-Iannuzzi, and Loersch (2016) reported a series of 6 experiments on the effects of primes on participants' bets in a simulated blackjack game, and claimed that their findings not only establish the reality of behavior priming beyond dispute, but also demonstrate that this form of priming has the crucial hallmark of occurring outside participants' awareness and control. I describe a statistical model that does not distinguish automatic and controlled processes, but which nonetheless reproduces Payne et al.' s (2016) results and hence shows that their conclusions are unwarranted. Payne et al.' s (2016) experimental task and within-subjects design provide little insight into why some behavior priming studies have proven difficult to replicate.","[Shanks, David R.] UCL, Div Psychol & Language Sci, 26 Bedford Way, London WC1H 0AP, England","Shanks, DR (reprint author), UCL, Div Psychol & Language Sci, 26 Bedford Way, London WC1H 0AP, England.",d.shanks@ucl.ac.uk,"Shanks, David/A-1510-2015","Shanks, David/0000-0002-4600-6323",,,,26,0,0,0,7,AMER PSYCHOLOGICAL ASSOC,WASHINGTON,"750 FIRST ST NE, WASHINGTON, DC 20002-4242 USA",0096-3445,1939-2222,,J EXP PSYCHOL GEN,J. Exp. Psychol.-Gen.,AUG,2017,146,8,,,,,1216,1222,,10.1037/xge0000307,,,,7,"Psychology, Experimental",Psychology,FC1RE,WOS:000406614300012,28758789,,,,4/26/19
