uniqueID,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
1,J,"Stroebe, W",,,,"Stroebe, Wolfgang",,,What Can We Learn from Many Labs Replications?,BASIC AND APPLIED SOCIAL PSYCHOLOGY,,,English,Article,,,,,,,FACIAL-FEEDBACK; STATISTICAL POWER; REPLICABILITY; BEHAVIOR; TRUTH; REFLECTION; PSYCHOLOGY; INITIATION; COGNITION; SEVERITY,"Several hundred research groups attempted replications of published effects in so-called Many Labs studies involving thousands of research participants. Given this enormous investment, it seems timely to assess what has been learned and what can be learned from this type of project. My evaluation addresses four questions: First, do these replication studies inform us about the replicability of social psychological research? Second, can replications detect fraud? Third, does the failure to replicate a finding indicate that the original result was wrong? Finally, do these replications help to support or disprove any social psychological theories? Although evidence of replication failures resulted in important methodological changes, the 2015 Open Science Collaboration findings sufficed to make the point. To assess the state of social psychology, we have to evaluate theories rather than randomly selected research findings.","[Stroebe, Wolfgang] Univ Groningen, Groningen, Netherlands","Stroebe, W (reprint author), Univ Groningen, Dept Social & Org Res, Grote Kruisstr 2-1, NL-9712 TS Groningen, Netherlands.",wolfgang.stroebe@gmail.com,,,,,,70,0,0,0,0,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0197-3533,1532-4834,,BASIC APPL SOC PSYCH,Basic Appl Soc. Psychol.,4-Mar,2019,41,2,,,,,91,103,,10.1080/01973533.2019.1577736,,,,13,"Psychology, Social",Psychology,HS3ZM,WOS:000463801200001,,Bronze,,,4/26/19
2,J,"Shapiro, LA",,,,"Shapiro, Lawrence A.",,,Flesh matters: The body in cognition,MIND & LANGUAGE,,,English,Article,,,,,,body relativity; embodied cognition; extended cognition; extended mind; functionalism,LANGUAGE; EMBODIMENT,"Embodied cognition emphasizes the importance of the body to cognition, but what is the nature of this importance? For some advocates, the body provides a computational resource within the context of a larger cognitive system. For others, the body constrains cognition, such that differently embodied organisms will differ cognitively as well. I examine these distinct conceptions of embodiment, defending the greater interest of the second. I argue as well that judgments of the body's significance in cognition do not, as contestants on both sides of the debate often insist, depend on showing the body to be a constituent in cognition.","[Shapiro, Lawrence A.] Univ Wisconsin, Dept Philosophy, 5185 HC White Hall, Madison, WI 53706 USA","Shapiro, LA (reprint author), Univ Wisconsin, Dept Philosophy, 5185 HC White Hall, Madison, WI 53706 USA.",lshapiro@wisc.edu,,,,,,37,0,0,4,4,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0268-1064,1468-0017,,MIND LANG,Mind Lang.,FEB,2019,34,1,,,,,3,20,,10.1111/mila.12203,,,,18,"Linguistics; Psychology, Experimental",Linguistics; Psychology,HK9TR,WOS:000458335300001,,Bronze,,,4/26/19
3,J,"Korner, A; Strack, F",,,,"Koerner, Anita; Strack, Fritz",,,Conditions for the clean slate effect after success or failure,JOURNAL OF SOCIAL PSYCHOLOGY,,,English,Article,,,,,,Clean-slate effect; embodied cognition; embodied cleansing; embodiment; performance feedback,THREATENED MORALITY; SIGNATURE SIZE; DIRTY HANDS; SELF-ESTEEM; EMBODIMENT; JUDGMENTS; WEIGHT; INFORMATION; IMPACT; SINS,"The act of physically cleaning one's hands may reduce the impact of past experiences, termed clean-slate effect. Cleaning was found to affect negative, neutral, and mildly positive states. We extend this influence to success, a self-serving state. We manipulated success vs. failure and measured changes in optimism (Experiment 1) or self-esteem (Experiment 2). Moreover, we examined boundary conditions for the clean-slate effect. Experiment 1 indicates that the influence of performance on optimism diminishes if participants knew (compared to did not know) they were cleaning their hands. Experiment 2 indicates that the influence of performance on self-esteem diminishes if participants cleaned themselves (compared to an object). These results suggest that the clean-slate effect requires both awareness and self-reference of the cleaning act. Thus, the clean-slate effect seems to depend on both conscious inferences and automatic processes. A meta-analysis across the experiments confirms a moderate-sized clean-slate effect.","[Koerner, Anita; Strack, Fritz] Univ Wurzburg, Wurzburg, Germany","Korner, A (reprint author), Univ Wurzburg, Dept Psychol, Rontgenring 10, D-97070 Wurzburg, Germany.",anita.koerner@uni-wuerzburg.de,,,,,,61,0,0,1,1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0022-4545,1940-1183,,J SOC PSYCHOL,J. Soc. Psychol.,2-Jan,2019,159,1,,,,,92,105,,10.1080/00224545.2018.1454881,,,,14,"Psychology, Social",Psychology,HG7UE,WOS:000455200000008,29558257,,,,4/26/19
4,B,"Milkowski, M",,"Sprevak, M; Colombo, M",,"Milkowski, Marcin",,,EMBODIED COGNITION,ROUTLEDGE HANDBOOK OF THE COMPUTATIONAL MIND,Routledge Handbooks in Philosophy,,English,Article; Book Chapter,,,,,,,COMPUTATION; LANGUAGE; DYNAMICS; ACCOUNT; ROBOTS; VIEW,,"[Milkowski, Marcin] Polish Acad Sci, Inst Philosophy & Sociol, Warsaw, Poland","Milkowski, M (reprint author), Polish Acad Sci, Inst Philosophy & Sociol, Warsaw, Poland.",,"Milkowski, Marcin/L-5642-2013","Milkowski, Marcin/0000-0001-7646-5742",,,,77,0,0,0,0,ROUTLEDGE,ABINGDON,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",,,978-1-315-64367-0; 978-1-138-18668-2,ROUTLEDGE HBK PHILOS,,,2019,,,,,,,323,338,,,,,,16,"Behavioral Sciences; History & Philosophy Of Science; Philosophy; Psychology, Multidisciplinary",Behavioral Sciences; History & Philosophy of Science; Philosophy; Psychology,BM4GL,WOS:000463261700025,,,,,4/26/19
5,J,"Dayan, SH; Bacos, JT; Gandhi, ND; Ho, TVT; Kalbag, A",,,,"Dayan, Steven H.; Bacos, Jonathan T.; Gandhi, Nimit D.; Ho, Thuy-Van T.; Kalbag, Arjun",,,Assessment of the Impact of Perioral Rejuvenation With Hyaluronic Acid Filler on Projected First Impressions and Mood Perceptions,DERMATOLOGIC SURGERY,,,English,Article,,,,,,,BOTULINUM-TOXIN-A; FACIAL FEEDBACK; DOUBLE-BLIND; DEPRESSION; ATTRACTIVENESS; RELIABILITY; INJECTIONS; HAPPINESS,"BACKGROUND Small-particle hyaluronic acid filler is approved for lip augmentation and correction of perioral rhytides. Treatment with this product may improve facial aesthetics, projected first impression, and self-perception of mood. OBJECTIVE To determine the effect of perioral rejuvenation with hyaluronic acid on patient perception of mood and projected first impression. MATERIALS AND METHODS Seventeen subjects underwent perioral rejuvenation treatment with small-particle hyaluronic acid filler. Each subject underwent photography and completed 2 surveys measuring self-perception of mood before treatment and after achieving an optimal cosmetic result. Aesthetic improvement with treatment was assessed using the Global Aesthetic Improvement Scale and the Oral Commissure Severity and Perioral Line Severity scales. Seventeen hundred blinded evaluators rated pre-treatment and post-treatment photographs of the subjects using a First Impressions Questionnaire. RESULTS Perioral filler treatment significantly improved pre-treatment and post-treatment scores for happiness within the Happiness Measures Scale. This treatment was found to significantly improve projected first impression across all categories. CONCLUSION Small-particle hyaluronic acid filler treatment for perioral rejuvenation is an effective method for improving physical appearance as well as first impressions. Larger studies are necessary to verify whether perioral rejuvenation with hyaluronic acid offers enhanced self-perception of mood.","[Dayan, Steven H.; Bacos, Jonathan T.; Gandhi, Nimit D.; Kalbag, Arjun] DeNova Res, 845 N Michigan Ave,Suite 923E, Chicago, IL 60611 USA; [Dayan, Steven H.] Chicago Ctr Facial Plast Surg, Chicago, IL USA; [Dayan, Steven H.; Ho, Thuy-Van T.] Univ Illinois, Dept Otolaryngol, Div Facial Plast & Reconstruct Surg, Chicago, IL USA; [Bacos, Jonathan T.] Northwestern Univ, Feinberg Sch Med, Chicago, IL 60611 USA","Dayan, SH (reprint author), DeNova Res, 845 N Michigan Ave,Suite 923E, Chicago, IL 60611 USA.",sdayan@drdayan.com,,,"Galderma Laboratories, L.P.","Supported by a grant from Galderma Laboratories, L.P. to S.H. Dayan. S.H. Dayan received equipment, materials, and medications for this study, and received funding to support research for this article. The authors have indicated no significant interest with commercial supporters. This study was an investigator-initiated trial in which Galderma laboratories, L.P. did not create the design or conduct the study; Galderma laboratories, L.P. was not involved in the collection management, analysis, and interpretation of the data; Galderma laboratories L.P. did participate in the preparation of this manuscript following the draft by reviewing content for scientific accuracy of their products and approval of the manuscript; Galderma laboratories, L.P. was involved in the decision to submit this manuscript for publication. S.H. Dayan had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis. A. Kalbag is affiliated with DeNova Research and is responsible for the data analysis.",,44,0,0,1,1,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA",1076-0512,1524-4725,,DERMATOL SURG,Dermatol. Surg.,JAN,2019,45,1,,,,,99,107,,10.1097/DSS.0000000000001613,,,,9,Dermatology; Surgery,Dermatology; Surgery,HQ4XS,WOS:000462415200013,30059389,,,,4/26/19
6,J,"Wentura, D",,,,"Wentura, Dirk",,,Cognition and emotion: on paradigms and metaphors,COGNITION & EMOTION,,,English,Article,,,,,,Cognition; emotion; automatic evaluation; parallel distributed processing,IMPLICIT ASSOCIATION TEST; ATTENTION-GRABBING POWER; AUTOMATIC VIGILANCE; ACTIVATION; RESPONSES; TASK; MISATTRIBUTION; FACILITATION; REPLICATION; VALENCE,"The field of cognition and emotion is characterised as the cognitive psychology of evaluative and affective processes. The most important development in this field is the fruitful adoption of cognitive psychology paradigms to study automatic evaluation processes, for example. This has led to a plethora of findings and theories. Two points are emphasised: First, the (often metaphorical) theoretical way of thinking has changed over the decades. Theorising with symbolic models (e.g. semantic networks), which was prevalent in earlier years, has been replaced more recently by subsymbolic models (i.e. PDP models). It is argued that - despite their still metaphorical character - the latter are better suited to capturing characteristics of emotional processes. Second, the field has adopted the methods of experimental cognitive psychology to develop and refine paradigms as windows to the mind.","[Wentura, Dirk] Saarland Univ, Dept Psychol, Fac Behav Sci, Saarbrucken, Germany","Wentura, D (reprint author), Saarland Univ, Dept Psychol, Fac Behav Sci, Saarbrucken, Germany.",wentura@mx.uni-saarland.de,,"Wentura, Dirk/0000-0001-9907-498X",,,,78,0,0,2,2,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0269-9931,1464-0600,,COGNITION EMOTION,Cogn. Emot.,,2019,33,1,,,SI,,85,93,,10.1080/02699931.2019.1567464,,,,9,"Psychology, Experimental",Psychology,HP3AJ,WOS:000461547700013,30654702,,,,4/26/19
7,B,"Krosnick, JA; Judd, CM; Wittenbrink, B",,"Albarracin, D; Johnson, BT",,"Krosnick, Jon A.; Judd, Charles M.; Wittenbrink, Bernd",,,THE MEASUREMENT OF ATTITUDES,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",,,English,Proceedings Paper,Attitudes Conference,"MAY 17-19, 2017","Philadelphia, PA",,,,IMPLICIT ASSOCIATION TEST; OPEN-ENDED QUESTIONS; RESPONSE-ORDER; RATING-SCALES; AFFECT MISATTRIBUTION; SOCIAL DESIRABILITY; AUTOMATIC ACTIVATION; BOGUS PIPELINE; SELF-ESTEEM; PHYSICAL ATTRACTIVENESS,,"[Krosnick, Jon A.] Stanford Univ, Dept Commun, Stanford, CA 94305 USA; [Krosnick, Jon A.] Stanford Univ, Dept Polit Sci, Stanford, CA 94305 USA; [Judd, Charles M.] Univ Colorado, Dept Psychol & Neurosci, Boulder, CO 80309 USA; [Wittenbrink, Bernd] Univ Chicago, Booth Sch Business, Chicago, IL 60637 USA","Krosnick, JA (reprint author), Stanford Univ, Dept Commun, Stanford, CA 94305 USA.; Krosnick, JA (reprint author), Stanford Univ, Dept Polit Sci, Stanford, CA 94305 USA.",,,,,,,418,0,0,2,2,ROUTLEDGE,ABINGDON,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",,,978-1-315-17810-3; 978-1-315-17810-3; 978-1-138-64826-5,,,,2019,,,,,,,45,105,,,,,,61,"Communication; Psychology, Social",Communication; Psychology,BM2QW,WOS:000461333400002,,,,,4/26/19
8,B,"Clore, GL; Schnall, S",,"Albarracin, D; Johnson, BT",,"Clore, Gerald L.; Schnall, Simone",,,THE INFLUENCE OF AFFECT ON ATTITUDE,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",,,English,Proceedings Paper,Attitudes Conference,"MAY 17-19, 2017","Philadelphia, PA",,,,ATTRIBUTION-VALUE MODEL; DUAL-PROCESS ACCOUNTS; IMPLICIT MISATTRIBUTION; PROPOSITIONAL PROCESSES; INDIVIDUAL-DIFFERENCES; EFFECTS DEPEND; MOOD; INFORMATION; CONTINGENCY; AWARENESS,,"[Clore, Gerald L.] Univ Virginia, Dept Psychol, Gilmer Hall, Charlottesville, VA 22903 USA; [Schnall, Simone] Univ Cambridge, Dept Psychol, Cambridge, England","Clore, GL (reprint author), Univ Virginia, Dept Psychol, Gilmer Hall, Charlottesville, VA 22903 USA.",,,,National Institute of Mental Health [MH 50074]; National Science Foundation [BCS-1252079],This work was partially supported by grants from the National Institute of Mental Health (No. MH 50074) and the National Science Foundation (No. BCS-1252079).,,174,0,0,4,4,ROUTLEDGE,ABINGDON,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",,,978-1-315-17810-3; 978-1-315-17810-3; 978-1-138-64826-5,,,,2019,,,,,,,259,290,,,,,,32,"Communication; Psychology, Social",Communication; Psychology,BM2QW,WOS:000461333400006,,,,,4/26/19
9,B,"Wegener, DT; Clark, JK; Petty, RE",,"Albarracin, D; Johnson, BT",,"Wegener, Duane T.; Clark, Jason K.; Petty, Richard E.",,,COGNITIVE AND METACOGNITIVE PROCESSES IN ATTITUDE FORMATION AND CHANGE,"HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",,,English,Proceedings Paper,Attitudes Conference,"MAY 17-19, 2017","Philadelphia, PA",,,,FLEXIBLE CORRECTION PROCESSES; MULTIPLE SOURCE CHARACTERISTICS; OVERT HEAD MOVEMENTS; SELF-VALIDATION; SELECTIVE-EXPOSURE; INDIVIDUAL-DIFFERENCES; IMPLICIT ATTITUDES; SOCIAL JUDGMENT; MODERATING ROLE; NAIVE THEORIES,,"[Wegener, Duane T.; Petty, Richard E.] Ohio State Univ, Dept Psychol, Columbus, OH 43210 USA; [Clark, Jason K.] Purdue Univ, Dept Consumer Sci, W Lafayette, IN 47907 USA","Wegener, DT (reprint author), Ohio State Univ, Dept Psychol, Columbus, OH 43210 USA.",,,,,,,334,0,0,1,1,ROUTLEDGE,ABINGDON,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",,,978-1-315-17810-3; 978-1-315-17810-3; 978-1-138-64826-5,,,,2019,,,,,,,291,331,,,,,,41,"Communication; Psychology, Social",Communication; Psychology,BM2QW,WOS:000461333400007,,,,,4/26/19
10,B,"Wyer, RS",,"Albarracin, D; Johnson, BT",,"Wyer, Robert S., Jr.",,,"SOME DETERMINANTS AND CONSEQUENCES OF BELIEFS Cognitive, Social, and Motivational","HANDBOOK OF ATTITUDES, VOL 1: BASIC PRINCIPLES, 2ND EDITION",,,English,Proceedings Paper,Attitudes Conference,"MAY 17-19, 2017","Philadelphia, PA",,,,SUBJECTIVE-PROBABILITY MODEL; IMPLICIT THEORIES; MORTALITY SALIENCE; CATEGORY ACCESSIBILITY; IMPRESSION-FORMATION; MENTAL MODELS; PERSON MEMORY; MIND-SETS; INDIVIDUAL-DIFFERENCES; PROCESSING STRATEGIES,,"[Wyer, Robert S., Jr.] Chinese Univ Hong Kong, Dept Mkt, Shatin, Hong Kong, Peoples R China; [Wyer, Robert S., Jr.] Univ Cincinnati, Cincinnati, OH 45221 USA","Wyer, RS (reprint author), Chinese Univ Hong Kong, Dept Mkt, Shatin, Hong Kong, Peoples R China.; Wyer, RS (reprint author), Univ Cincinnati, Cincinnati, OH 45221 USA.",,,,,,,291,0,0,0,0,ROUTLEDGE,ABINGDON,"2 PARK SQ, MILTON PARK, ABINGDON OX14 4RN, OXFORD, ENGLAND",,,978-1-315-17810-3; 978-1-315-17810-3; 978-1-138-64826-5,,,,2019,,,,,,,332,376,,,,,,45,"Communication; Psychology, Social",Communication; Psychology,BM2QW,WOS:000461333400008,,,,,4/26/19
